Rank,Name,Market Sectors,Active users (daily) (30d latest),Active users (daily) (30d change)
121,Thruster,exchange,803,0.044213263979193757
122,Blur,nft,761,0.013315579227696404
123,Venus,lending,734,0.5291666666666667
124,Hydration,blockchains-l2,727,-0.6902428632296549
125,Zerion,infrastructure,647,0.6379746835443038
126,Astar,blockchains-l2,556,0.01090909090909091
127,Honeypop,exchange,546,-0.052083333333333336
128,Superseed,blockchains-l2,499,-0.8100494861058242
129,Dolomite,lending,499,0.07311827956989247
130,Helio,infrastructure,462,-0.4038709677419355
131,SyncSwap,exchange,446,0.24581005586592178
132,Tokenlon,dex-aggregators,444,-0.022026431718061675
133,Compound,lending,431,0.9070796460176991
134,Kusama,blockchains-l1,429,-0.025
135,BENQI,lending,360,1.1951219512195121
136,Chainlink,interoperability,331,0.05750798722044728
137,Lido Finance,liquid-staking,323,-0.2625570776255708
138,Mina Protocol,blockchains-l1,294,0.33031674208144796
139,zkSwap Finance,exchange,283,0.9383561643835616
140,Unique Network,blockchains-l2,282,-0.07540983606557378
141,Ethereum Name Service,infrastructure,281,-0.33726415094339623
142,Allbridge Core,bridges,253,1.3644859813084111
143,Phala,blockchains-l2,223,-0.05907172995780591
144,Equalizer Exchange,exchange,208,0.5072463768115942
145,Symbiotic,liquid-staking,158,0.09722222222222222
146,NeuroWeb,blockchains-l2,158,-0.24401913875598086
147,Wombat Exchange,exchange,157,-0.01875
148,Verse,exchange,156,0.7528089887640449
149,Zyberswap,exchange,153,-0.35714285714285715
150,Eigenlayer,liquid-staking,153,0.2644628099173554
151,Marinade,liquid-staking,142,-0.1069182389937107
152,Clipper,exchange,131,0.6172839506172839
153,Acala Network,blockchains-l2,128,-0.36318407960199006
154,BMX,derivatives,127,0.8142857142857143
155,Merkle Trade,derivatives,124,0.25252525252525254
156,Convex Finance,asset-management,120,0.02564102564102564
157,Spark,lending,101,0.463768115942029
158,Sky,stablecoin-issuers,92,0.4375
159,Robonomics Network,blockchains-l2,80,-0.024390243902439025
160,ZeroLend,lending,78,1.0526315789473684
161,StakeWise,liquid-staking,78,0.08333333333333333
162,SolidLizard,exchange,75,-0.42748091603053434
163,Tornado Cash,infrastructure,72,-0.3333333333333333
164,Maple Finance,lending,71,1.2903225806451613
165,Bifrost,blockchains-l2,71,-0.06578947368421052
166,Bancor,exchange,65,0.1016949152542373
167,BENQI Liquid Staking,liquid-staking,63,-0.045454545454545456
168,Interlay,blockchains-l2,58,0.7058823529411765
169,Aura Finance,asset-management,56,-0.2328767123287671
170,Aperture,exchange,49,-0.07547169811320754
171,Energy Web X,blockchains-l2,48,0.2972972972972973
172,Darwinia Network,blockchains-l2,47,0.06818181818181818
173,Synapse,bridges,46,0.7037037037037037
174,Rarible,nft,41,-0.2545454545454545
175,Trevee,liquid-staking,37,-0.13953488372093023
176,Thales,derivatives,36,-0.12195121951219512
177,Centrifuge,blockchains-l2,32,0.18518518518518517
178,Solv Protocol,liquid-staking,31,-0.03125
179,Seamless Protocol,lending,29,0.03571428571428571
180,Reserve,asset-management,27,-0.2894736842105263
181,Gamma Strategies,asset-management,19,0.05555555555555555
182,Fraxlend,lending,19,0.5833333333333334
183,Foundation,nft,19,
184,Flashbots,infrastructure,18,0.2
185,deBridge,interoperability,18,0.058823529411764705
186,MUX,derivatives,17,-0.15
187,Index Cooperative,asset-management,16,
188,Hyperbridge,blockchains-l2,16,
189,StakeStone,liquid-staking,14,
190,NFTX,nft,14,-0.5483870967741935
191,Rocket Pool,liquid-staking,13,0.08333333333333333
192,Origin Protocol,liquid-staking,13,-0.13333333333333333
193,Hegic,derivatives,13,
194,HMX,derivatives,12,
195,The Graph,infrastructure,9,
196,Stader,liquid-staking,9,-0.4
197,Pendulum,blockchains-l2,9,
198,Perpetual Protocol,derivatives,8,-0.5294117647058824
199,Litentry,blockchains-l2,6,
200,friend.tech,social,6,
201,DFX Finance,exchange,6,
202,BendDAO,lending,6,
203,Zora,nft,5,
204,Gearbox,lending,5,
205,Coinshift,stablecoin-issuers,5,-0.5454545454545454
206,Zeitgeist,blockchains-l2,4,-0.6666666666666666
207,Sudoswap,nft,4,
208,PoolTogether,asset-management,4,-0.7777777777777778
209,Nodle,blockchains-l2,4,-0.989010989010989
210,Ankr,liquid-staking,4,
211,Liquity,stablecoin-issuers,3,
212,Hop Protocol,bridges,3,
213,Ethena,stablecoin-issuers,3,
214,Toucan Protocol,infrastructure,2,
215,Synthetix,derivatives,2,
216,Swell,liquid-staking,2,
217,Shoebill Finance,lending,2,
218,Radiant Capital,lending,2,
219,Abracadabra.money,stablecoin-issuers,2,
220,Liquid Collective,liquid-staking,1,
221,Kilt,blockchains-l2,1,-0.9893617021276596
222,Goldfinch,lending,1,
223,Frax Ether,liquid-staking,1,
224,Aventus,blockchains-l2,1,
225,Ajuna Network,blockchains-l2,1,
226,zkSync Era Bridge,bridges,,
227,XOXNO,nft,,
228,X2Y2,nft,,
229,Voltz,derivatives,,
230,Volmex,derivatives,,
231,Vesta Finance,stablecoin-issuers,,
232,Vertex,derivatives,,
233,Unipilot,asset-management,,
234,TrueFi,lending,,
235,Thetanuts,asset-management,,
236,Swarm,infrastructure,,
237,StaFi,liquid-staking,,
238,Sound.xyz,nft,,
239,Ribbon Finance,asset-management,,
240,Ren,bridges,,
241,Prisma Finance,stablecoin-issuers,,
242,Premia,derivatives,,
243,Polynomial Protocol,derivatives,,
244,Pika Protocol,derivatives,,
245,Osmosis,exchange,,
246,Opyn,derivatives,,
247,Notional Finance,lending,,
248,Nexus Mutual,insurance,,
249,Mummy Finance,derivatives,,
250,Metavault.Trade,derivatives,,
251,Lybra Finance,stablecoin-issuers,,
252,LooksRare,nft,,
253,Lighter,exchange,,
254,Level Finance,derivatives,,
255,Lens Protocol,social,,
256,Kwenta,derivatives,,
257,IPOR Protocol,derivatives,,
258,Holdstation,derivatives,,
259,Frequency,blockchains-l2,,-1
260,Dopex,derivatives,,
261,Deri Protocol,derivatives,,
262,Cryptex,asset-management,,
263,Cronos,blockchains-l1,,
264,Everclear (previously Connext),bridges,,
265,Cap,derivatives,,
266,Buffer Finance,derivatives,,
267,Bounce Finance,infrastructure,,
268,BetSwirl,prediction-markets,,
269,Azuro,prediction-markets,,
270,AirSwap,dex-aggregators,,-1
271,Across,bridges,,
272,0x,exchange,,
