Rank,Name,Symbol,Price,YTD %,90d %,60d %,30d %,7d %,Market Cap,Volume (24h),Circulating Supply,Total Supply,24h %,1h %
62,Pump.fun,PUMP,0.003575,0.00,18.83,24.73,56.81,10.56,1265554015,278426207,77.96,1000000000000,6.05,0.04
63,Sei,SEI,0.1922,51.47,45.45,39.32,41.35,13.09,1201485542,188591999,982.73,10000000000,2.19,0.08
64,OFFICIAL TRUMP,TRUMP,5.84,383.83,42.96,34.86,32.51,0.98,1169348412,413222557,70.78,999999283,0.75,0.47
65,Bonk,BONK,0.00001421,53.46,57.82,35.94,42.34,0.40,1162834265,299257581,21.06,87995317568945,2.56,0.20
66,Jupiter,JUP,0.3425,58.05,37.96,29.62,36.58,1.52,1084162838,46727726,137.04,6999010950,1.31,0.49
67,XDC Network,XDC,0.05970,15.10,39.20,28.47,24.39,6.42,1059907213,49313111,830.00,38026882590,3.54,1.33
68,Tether Gold,XAUt,4242.78,61.80,26.55,27.11,16.56,5.98,1045949153,510221523,0.12025,246524,3.10,0.03
69,Filecoin,FIL,1.47,70.08,47.82,39.14,41.98,13.42,1035076506,135804534,92.07,1958881078,2.49,0.37
70,Quant,QNT,84.01,20.91,25.76,21.10,16.01,6.62,1014255050,26992573,0.32166,14881364,3.68,0.03
71,First Digital USD,FDUSD,0.9976,0.03,0.05,0.03,0.05,0.12,1009842835,8773807628,8.79,1012181553,0.10,0.03
72,PancakeSwap,CAKE,2.87,14.71,7.06,8.31,7.30,0.41,985974933,263156353,92.08,357886453,3.30,0.83
73,Immutable,IMX,0.4981,62.40,22.38,8.89,34.09,3.20,978644859,51787691,104.09,2000000000,0.24,0.40
74,SPX6900,SPX,0.9604,10.40,46.37,30.61,32.53,17.67,894162849,58486434,61.18,930993090,5.33,0.27
75,Ripple USD,RLUSD,1.00,0.00,0.02,0.02,0.10,0.03,874018503,119028560,119.03,873997012,0.01,0.02
76,Injective,INJ,8.38,57.21,41.60,39.53,41.58,7.19,837954107,124959027,14.93,100000000,0.62,0.34
77,Celestia,TIA,1.00,78.22,50.76,41.84,43.78,2.81,822801907,115164094,114.96,1149938480,0.30,0.04
78,DoubleZero,2Z,0.2298,0.42,65.61,65.61,0.42,16.52,797834522,52935786,231.07,9999999982,3.65,0.48
79,Lido DAO,LDO,0.8684,50.27,22.49,32.00,33.38,4.09,777908363,160003154,184.59,1000000000,0.98,0.31
